Tuple,AoI
"(-3, -3, -5)",12
"(-3, 4, 4)",45
"(1, -4, -4)",7
"(-3, -3, 1)",41
"(-2, -2, 2)",129
"(4, 3, -2)",20
"(-4, 4, 1)",3
"(1, -1, 4)",26
"(1, -2, -1)",95
"(4, -2, -2)",28
"(-4, 1, 1)",29
"(2, 0, -3)",26
"(1, 3, 4)",73
"(2, 4, 5)",17
"(3, 5, 6)",2
"(-3, -5, -6)",1
"(-2, 4, 4)",15
"(0, -4, -4)",52
"(-2, -2, 3)",388
"(2, -2, -1)",245
"(2, 0, 3)",61
"(-2, 1, -3)",19
"(2, 1, 4)",83
"(3, -1, 5)",8
"(-3, 0, -5)",13
"(-2, -4, 3)",13
"(1, 2, -2)",77
"(0, 1, 4)",89
"(0, -1, -4)",78
"(4, 1, 3)",53
"(-4, -1, -3)",33
"(-1, -1, 5)",26
"(0, 0, -5)",93
"(3, 0, 2)",94
"(4, 0, 3)",21
"(-4, 0, -3)",39
"(-2, 2, -3)",15
"(4, 3, 2)",44
"(5, 4, -2)",2
"(-5, -4, 1)",2
"(3, 2, -3)",15
"(-3, -2, 1)",36
"(2, -3, 5)",3
"(-2, 1, -5)",5
"(2, 0, 4)",14
"(-2, 0, -4)",43
"(-3, 4, 0)",38
"(-3, 0, 1)",154
"(3, 0, -3)",18
"(0, 4, 0)",130
"(4, 1, -1)",25
"(5, -1, 0)",14
"(6, 1, 0)",5
"(-6, -1, 0)",8
"(0, 3, 3)",87
"(-1, -3, -2)",130
"(1, 2, 4)",80
"(-1, -2, -4)",39
"(-1, 1, 3)",77
"(3, 5, -1)",4
"(-3, -5, 0)",12
"(-1, -1, 4)",59
"(1, 4, 4)",75
"(2, 5, 5)",19
"(-2, -5, -5)",9
"(-2, 5, 3)",9
"(1, 6, -3)",1
"(-1, 7, 1)",2
"(0, -7, -1)",1
"(1, -2, 2)",80
"(-1, 1, -2)",110
"(2, -2, 2)",165
"(4, 2, -3)",17
"(-4, 3, 1)",3
"(2, 1, -2)",64
"(-4, -3, 3)",6
"(-1, 4, 0)",46
"(3, 4, 3)",74
"(-3, 5, -3)",7
"(0, 6, 0)",13
"(1, -6, 1)",3
"(-2, -3, 3)",33
"(-1, 0, 3)",113
"(-3, -2, -1)",126
"(-2, -1, -4)",44
"(1, 2, 3)",224
"(-1, -2, -3)",116
"(2, -2, 1)",80
"(5, 5, -2)",2
"(6, -5, 0)",1
"(7, 0, 1)",2
"(8, 1, 2)",2
"(9, 2, 3)",1
"(-9, -2, -3)",1
"(-1, -2, 4)",19
"(2, 1, -3)",20
"(1, 3, -1)",94
"(1, 4, -3)",23
"(1, 5, 5)",13
"(-1, -5, -5)",7
"(0, 5, -1)",9
"(-1, -6, -1)",19
"(1, -3, -1)",38
"(1, -4, -1)",3
"(4, -2, -1)",13
"(3, 0, -2)",141
"(-2, -5, -2)",18
"(1, -4, 1)",35
"(4, 2, 4)",75
"(5, -2, -4)",6
"(5, 2, -1)",20
"(-5, -2, 0)",16
"(-2, 2, 3)",97
"(-4, -1, 0)",69
"(0, 4, -1)",35
"(1, 5, 1)",92
"(-1, -5, -1)",53
"(2, 3, -2)",89
"(4, 5, 2)",8
"(-4, -5, -2)",4
"(0, 5, 1)",22
"(1, -5, -1)",3
"(3, -3, 3)",31
"(5, 0, -1)",9
"(-1, 4, 2)",51
"(1, 5, 3)",21
"(-1, -5, -3)",11
"(-3, 1, 1)",87
"(1, 0, 4)",96
"(2, -3, -3)",21
"(4, 4, -3)",40
"(-4, -4, 0)",52
"(1, -3, 2)",20
"(5, -4, -4)",13
"(-5, 0, 1)",9
"(5, 5, 3)",11
"(-5, -5, -3)",6
"(2, 2, -3)",52
"(0, 5, 0)",55
"(0, -5, 0)",91
"(-3, 3, 3)",25
"(0, -3, 4)",28
"(1, 1, 5)",96
"(2, 2, 6)",15
"(-2, 3, 7)",2
"(0, -3, -7)",4
"(2, 4, 4)",58
"(3, -4, 5)",5
"(4, 0, -5)",3
"(3, 1, -2)",109
"(3, -1, 1)",68
"(5, 2, 3)",19
"(-5, -2, 4)",4
"(-1, -1, -5)",46
"(5, 2, 2)",50
"(-5, 3, -2)",6
"(3, 3, 0)",105
"(3, 2, -1)",152
"(-1, 3, 5)",5
"(1, 4, 6)",4
"(-1, -4, 7)",1
"(0, 0, -7)",12
"(-4, -3, 5)",5
"(0, 1, -5)",16
"(2, -2, -3)",16
"(3, 0, 3)",115
"(3, 4, 2)",39
"(-3, -4, 3)",4
"(5, 5, 4)",10
"(-5, -5, -4)",5
"(5, 5, 5)",24
"(6, 6, 6)",3
"(-6, -6, -6)",3
"(-4, -3, -3)",39
"(-1, -2, 1)",119
"(0, 4, 2)",21
"(0, -4, -2)",55
"(0, 1, 5)",27
"(0, 2, 6)",3
"(0, -2, -6)",6
"(-4, -2, -2)",78
"(-3, 0, 2)",28
"(6, 4, -1)",1
"(-6, -4, 0)",5
"(4, 3, -1)",8
"(5, -3, 1)",5
"(-5, 0, 2)",4
"(5, 4, 3)",5
"(6, -4, 4)",1
"(7, 1, -4)",1
"(8, -1, 1)",2
"(9, 1, -1)",1
"(-9, -1, 0)",2
"(-2, -2, 4)",42
"(-4, 2, 2)",8
"(2, 6, 6)",2
"(3, -6, -6)",1
"(-3, 1, 3)",19
"(3, 5, 3)",16
"(4, 6, 4)",2
"(-4, -6, -4)",2
"(4, 3, -3)",12
"(-4, -3, 0)",23
"(1, 4, 0)",94
"(-2, -4, -4)",29
"(5, -3, 4)",6
"(-5, 1, 5)",3
"(1, -1, 6)",3
"(-1, 0, -6)",12
"(2, -4, 2)",16
"(-2, 3, -1)",113
"(2, -4, 1)",9
"(-3, -3, 4)",63
"(4, 0, -3)",23
"(-4, 1, 0)",38
"(-3, 3, -2)",43
"(0, 4, 3)",18
"(1, 5, -3)",2
"(-2, -1, 1)",116
"(-3, -3, 5)",4
"(5, 2, 5)",17
"(-5, -2, -5)",7
"(1, 4, 2)",66
"(-1, -4, -2)",37
"(0, -3, 3)",21
"(2, 4, 0)",20
"(3, 5, 1)",20
"(4, 6, 2)",2
"(-4, -6, 3)",1
"(3, 3, -3)",27
"(1, 3, -3)",21
"(3, -4, -1)",3
"(-1, 4, 3)",13
"(0, -4, -3)",37
"(-2, -1, 4)",21
"(4, -3, 4)",38
"(4, -3, -3)",64
"(1, -3, -2)",18
"(-3, -1, 2)",72
"(5, 0, 0)",36
"(6, 1, 1)",31
"(-6, -1, -1)",18
"(-4, -2, -4)",35
"(4, 4, 1)",70
"(-4, -4, -1)",31
"(3, -3, 0)",28
"(5, 2, 1)",42
"(6, -2, -1)",2
"(-6, 0, 0)",31
"(-2, -4, -1)",44
"(-2, 3, -3)",35
"(1, 5, -2)",2
"(-1, 6, 1)",4
"(0, -6, -1)",14
"(0, -1, 3)",107
"(-1, 2, -4)",23
"(4, -2, 1)",15
"(4, 3, 1)",66
"(5, -3, 2)",4
"(6, 1, 3)",8
"(-6, 2, 4)",3
"(0, -2, -4)",59
"(-3, 2, 3)",16
"(1, -2, 4)",13
"(2, 1, -4)",7
"(0, 0, 4)",133
"(-1, 2, 4)",47
"(1, -2, -4)",5
"(3, 4, 0)",18
"(-3, -4, 0)",39
"(3, -1, -3)",21
"(0, 3, 4)",16
"(1, 4, 5)",9
"(-1, 5, 6)",1
"(0, -5, -6)",1
"(3, 0, -1)",112
"(5, 3, 2)",10
"(6, 4, 3)",4
"(-6, -4, -3)",2
"(2, -3, 1)",21
"(5, 4, 4)",13
"(6, -4, 5)",1
"(-6, 0, -5)",2
"(2, 3, 5)",12
"(-2, -3, -5)",7
"(5, -2, -1)",8
"(0, -4, 3)",5
"(-2, -4, 0)",50
"(0, 3, 2)",78
"(5, 1, 1)",100
"(-5, 2, -1)",4
"(-3, -1, 3)",17
"(-4, -2, 0)",57
"(-3, -5, -3)",10
"(2, 5, 1)",17
"(-2, -5, -1)",5
"(-1, -3, -4)",34
"(-2, 4, 0)",17
"(-2, -3, 1)",21
"(2, 3, 4)",28
"(-2, -3, -4)",16
"(-3, -2, 4)",18
"(1, 0, -4)",37
"(2, -3, 2)",51
"(-2, 6, -1)",1
"(1, 7, 1)",11
"(-1, -7, -1)",5
"(4, -1, 0)",35
"(4, 2, -2)",13
"(1, 0, 5)",30
"(-1, 0, -5)",27
"(-1, 1, -3)",30
"(3, -1, 3)",79
"(1, 1, -3)",91
"(-5, -2, -2)",27
"(4, -3, -2)",20
"(0, 2, -2)",109
"(3, -3, -1)",19
"(-1, 6, -2)",3
"(-5, -2, -1)",25
"(3, -4, 6)",2
"(4, 1, -6)",1
"(5, 5, 1)",13
"(-5, -5, -1)",8
"(1, -2, -3)",31
"(2, -3, 0)",25
"(-3, -4, -4)",19
"(0, -1, 5)",15
"(-2, -2, 5)",9
"(-1, -4, -4)",39
"(2, -4, 0)",10
"(-3, 2, 0)",23
"(-1, 4, -1)",70
"(5, -3, 5)",3
"(-5, 0, -5)",8
"(-4, -3, -4)",23
"(-1, -4, 2)",24
"(1, -1, 5)",9
"(2, 0, 6)",3
"(-2, 1, -6)",3
"(5, -1, 4)",5
"(-5, 1, -4)",1
"(-1, -1, 7)",1
"(1, 0, 8)",1
"(-1, 0, -8)",1
"(5, 1, 0)",29
"(-5, -1, 0)",26
"(-3, 1, -1)",29
"(-3, -3, 2)",29
"(5, 2, 4)",5
"(-5, -2, -4)",4
"(3, 2, 0)",71
"(1, -3, -3)",35
"(6, 3, 3)",8
"(-6, -3, -3)",5
"(-5, -2, -3)",4
"(5, -4, 2)",8
"(-5, 0, -2)",16
"(-4, 3, -4)",8
"(-3, -2, 3)",30
"(-4, 3, 0)",5
"(-4, -4, 1)",5
"(-3, 3, 2)",13
"(-3, 1, -5)",1
"(-4, -3, -2)",22
"(4, -3, 3)",15
"(5, 1, -3)",3
"(0, 2, 5)",8
"(0, -2, -5)",14
"(-4, -1, 5)",6
"(1, -1, -3)",32
"(4, -1, 1)",21
"(6, 2, 3)",3
"(7, 3, -3)",1
"(-7, -3, 0)",1
"(-1, -2, 5)",5
"(3, -2, -3)",30
"(-3, -3, 3)",19
"(-3, 4, 2)",15
"(0, 4, -3)",29
"(0, -6, 0)",33
"(-4, 1, 5)",4
"(1, 2, 6)",7
"(-1, -2, 7)",1
"(0, 1, -7)",1
"(5, -1, 2)",16
"(-1, 4, 4)",15
"(1, 5, -4)",5
"(0, -3, 2)",27
"(-2, 1, 4)",12
"(2, 5, -1)",17
"(-2, -5, 1)",2
"(-1, 1, -5)",3
"(-4, 2, 3)",1
"(5, 4, -3)",8
"(4, -2, -3)",18
"(5, 3, 5)",12
"(-5, -3, -5)",5
"(-1, 5, 0)",6
"(2, 1, 6)",9
"(-2, -1, -6)",5
"(-4, -4, 3)",3
"(2, -1, 4)",42
"(-2, 1, -4)",1
